Word base            L.key                Suffixes id          W.form key                     W.form
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|P/V/F#1         gdjekakve
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|P/V/N#1         gdjekakva
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|P/L/M#1         gdjekakvim
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|P/L/M#2         gdjekakvima
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|P/L/F#1         gdjekakvim
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|P/L/F#2         gdjekakvima
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|P/L/N#1         gdjekakvim
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|P/L/N#2         gdjekakvima
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|P/I/M#1         gdjekakvim
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|P/I/M#2         gdjekakvima
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|P/I/F#1         gdjekakvim
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|P/I/F#2         gdjekakvima
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|P/I/N#1         gdjekakvim
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|P/I/N#2         gdjekakvima
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/N/M#1         gdjekoji
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/N/F#1         gdjekoja
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/N/N#1         gdjekoje
